review,sentiment
"This movie was fantastic and I loved every moment of it",positive
"Absolutely terrible film waste of time",negative
"The acting was brilliant and the story was engaging",positive
"I hated the movie the plot made no sense",negative
"What a wonderful cinematic experience",positive
"The movie was boring and too long",negative
"Amazing direction and great performances",positive
"Worst movie I have seen this year",negative
"The storyline was captivating and emotional",positive
"Poor acting and weak screenplay",negative
"A masterpiece with excellent visuals and music",positive
"The film was dull and predictable",negative
"Loved the characters and the story development",positive
"Completely disappointing and badly directed",negative
"A very entertaining movie with great humor",positive
"The movie failed to impress me at all",negative
"Outstanding performance by the lead actor",positive
"Terrible editing and awful dialogues",negative
"Heartwarming story and beautiful cinematography",positive
"Not worth watching very bad movie",negative
